date,text,user
2020-04-06 02:04:22+00:00,"more and more the capitalist ideological edifice can be seen in declarations such as these. while bernie is fighting for the global common good, those who just want to save it for their own benefit, even when facing a globlal catasthrophe, accusse him of destroying democracy.... ",mauriziotinnire
2020-04-06 02:01:46+00:00,"more and more the capitalist ideological edifice can be seen in declarations such as these. while bernie is fighting for the global common good, those who just want to save it for their own benefit, even when facing a globlal catasthrophe, accusse him of destroying democracy....",mauriziotinnire
2020-04-03 13:15:20+00:00,"i wonder how large multinational corporations will handle this crisis. i dont think they realize that a sizable percentage of the worlds largest market isnt interested in the ""global common good"", but rather about the survival of americans and american jobs right now.",BenK84
2020-04-02 15:47:00+00:00,"in this time of increasing polarisation and nationalism, universities need to embrace new ways of ‘being’ international, that put human values and the global common good at the heart of internationalisation.",BholanathDutta
2020-04-01 23:25:47+00:00,chinas unwillingness to promote the global common good is why it will not supplant the us role in the world. we may abdicate our position and squander influence but china is not capable of stepping into that gap. ,SeucT
2020-03-30 18:31:01+00:00,"i feel hopeful that we can find a path forward to a more equitable, positive, caring world. the monstrous gop & their walking dead have done 1 service - shown us horrors weve been ignoring. first step to becoming better people & committing ourselves to a global common good.",CabalClair
2020-03-30 11:20:24+00:00,"thx for reaffirming that unbroken commitment for as a global common good. sustainability is much more than just protecting forest but also with much higher yield, much less pesticide fertilizer use compared to other voils. check @gapki_ipoa ",SimamoraDupito
2020-03-30 11:18:25+00:00,"thx for reaffirming that unbroken commitment for as a global common good. sustainability is much more than just protecting forest but also with much higher yield, much less pesticide fertilizer use compared to other voils. check @gapki_ipoa",SimamoraDupito
2020-03-29 14:33:46+00:00,"i say it and mean it. people have unique duties to their country in advancing the global common good. i believe in genuine liberty and justice for all—and am pledging to advance these. and to support republican government, which most aligns w/ participation and human dignity.",RGC3
2020-03-24 14:57:41+00:00,antonio novoa warns us against a consumerist approach to education. at this time more than ever we have to think of strengthening education as a global common good that arises in a public space. @unesco @peoplefored @gemreport @cies_us,Anniekidder
2020-03-24 14:52:21+00:00,"""education as a global common good"" antónio novoa in the unescos futures of education keynote",feliac
2020-03-23 19:59:32+00:00,equipping people with the essential information for behavioral change in times of a pandemic can instill a sense of communal responsibility for the global common good. via @wbg_health,TarumeBloodwell
2020-03-23 17:21:59+00:00,"absolutely. all of the worlds nations departments of health (cdc, who, ecdc etc) should openly share information outside of politics for the global common good. ",maga8645
2020-03-22 08:25:42+00:00,...equipping people with the essential information for behavioral change in times of a pandemic can instill a sense of communal responsibility for the global common good.....,luludimples
2020-03-21 14:44:21+00:00,free internet for all coming soon. @barackobama for global common good humanity head coach! (for lack of a better title),handball64
2020-03-21 09:39:22+00:00,"happy international forest day, are a global common good! hug a today! @euinsa",RKionka
2020-03-20 15:01:04+00:00,"social responsibility for the global common good, it is time for the strong to take care of the weak.",pJ_Jp_
2020-03-16 20:45:46+00:00," ""equipping people with the essential information for behavioral change in times of a pandemic can instill a sense of communal responsibility for the global common good."" this brings to bear how current messages are framed. ",theAyoolu
2020-03-15 11:05:05+00:00, doesn’t only respond to a changing world. it has the power to transform the ! how can learning contribute to the global common good? you tell us! get involved and join @unesco’s global debate on the . ,UNESCO
2020-03-12 09:50:50+00:00," ""equipping people with the essential information for behavioral change in times of a pandemic can instill a sense of communal responsibility for the global common good."" via @wbg_health",dorsie78
2020-03-02 22:48:01+00:00,"so, i try and vote for someone who seeks peace over war, pursues the global common good, is a symbol of our best values and aspirations, values intelligence and competence and can lead people they appoint, and has a domestic policy vision im on board with. in that order.",jwmccarty
